category,district,constituency,candidate_name,party,votes,total_votes,share_votes,unopposed
Directly Elected MP,AMOLATAR,KIOGA COUNTY,OKUU OKUU DEOGRATIUS,INDEPENDENT,110,23013,0.004779907,0
Directly Elected MP,AMOLATAR,KIOGA NORTH COUNTY,OLOBO JAMES,NRM,14021,29195,0.480253458,0
Directly Elected MP,AMOLATAR,KIOGA NORTH COUNTY,ECAM NELSON,INDEPENDENT,6381,29195,0.218564823,0
Directly Elected MP,AMOLATAR,KIOGA NORTH COUNTY,ABWANG MIKE OTIM,FDC,4346,29195,0.14886111,0
Directly Elected MP,AMOLATAR,KIOGA NORTH COUNTY,OGWANG PATRICK,UPC,3376,29195,0.115636237,0
Directly Elected MP,AMOLATAR,KIOGA NORTH COUNTY,OLING JASPER,INDEPENDENT,844,29195,0.028909059,0
Directly Elected MP,AMOLATAR,KIOGA NORTH COUNTY,TYAN ABEL,NUP,227,29195,0.007775304,0
Directly Elected MP,AMUDAT,UPE COUNTY,LOLEM MICAH AKASILE,NRM,16241,31152,0.521346927,0
Directly Elected MP,AMUDAT,UPE COUNTY,KIPTERIT CHRISTOPHER AKORIKIMOI,INDEPENDENT,11939,31152,0.383249879,0
Directly Elected MP,AMUDAT,UPE COUNTY,BAKAN APPOLLO JAMES,INDEPENDENT,2972,31152,0.095403187,0
Directly Elected MP,AMURIA,AMURIA COUNTY,ECWERU MUSA FRANCIS,NRM,20143,37980,0.530358076,0
Directly Elected MP,AMURIA,AMURIA COUNTY,EDIAU SAMUEL,UPC,12399,37980,0.326461285,0
Directly Elected MP,AMURIA,AMURIA COUNTY,AMOLO SIMON PETER ORIOKOT,INDEPENDENT,4511,37980,0.118773036,0
Directly Elected MP,AMURIA,AMURIA COUNTY,EKALET BERNARA,INDEPENDENT,473,37980,0.012453923,0
Directly Elected MP,AMURIA,AMURIA COUNTY,OKURUT CHRISTOPHER,ANT,454,37980,0.011953659,0
Directly Elected MP,AMURIA,ORUNGO COUNTY,ODONGO JEJE ABUBAKAR,NRM,15173,19581,0.774883807,0
Directly Elected MP,AMURIA,ORUNGO COUNTY,ESERU FRED,FDC,3233,19581,0.165109038,0
Directly Elected MP,AMURIA,ORUNGO COUNTY,ESOGU NELSON,NUP,1175,19581,0.060007151,0
Directly Elected MP,AMURU,KILAK NORTH COUNTY,AKOL ANTHONY,FDC,6534,17670,0.369779289,0
Directly Elected MP,AMURU,KILAK NORTH COUNTY,OJERA CHRISTOPHER,NRM,6366,17670,0.360271633,0
Directly Elected MP,AMURU,KILAK NORTH COUNTY,OCAN JOHN BOSCO,INDEPENDENT,1927,17670,0.109054893,0
Directly Elected MP,AMURU,KILAK NORTH COUNTY,OMONY JULIUS,INDEPENDENT,1312,17670,0.074250139,0
Directly Elected MP,AMURU,KILAK NORTH COUNTY,ODONGKARA CHRISTOPHER,INDEPENDENT,773,17670,0.043746464,0
Directly Elected MP,AMURU,KILAK NORTH COUNTY,OKELLO DAVID,NUP,360,17670,0.020373514,0
Directly Elected MP,AMURU,KILAK NORTH COUNTY,TUGUME JUSTUS,INDEPENDENT,250,17670,0.014148274,0
Directly Elected MP,AMURU,KILAK NORTH COUNTY,SIMBA FRANCIS,INDEPENDENT,148,17670,0.008375778,0
Directly Elected MP,AMURU,KILAK SOUTH COUNTY,OLANYA GILBERT,FDC,10820,18215,0.594015896,0
Directly Elected MP,AMURU,KILAK SOUTH COUNTY,NOKRACH WILSON WILLIAM,NRM,5189,18215,0.284875095,0
Directly Elected MP,AMURU,KILAK SOUTH COUNTY,ANENA KEVIN OKUMU,INDEPENDENT,1271,18215,0.069777653,0
Directly Elected MP,AMURU,KILAK SOUTH COUNTY,OCIRA SOLOMON,INDEPENDENT,467,18215,0.02563821,0
Directly Elected MP,AMURU,KILAK SOUTH COUNTY,ANYWAR CHRISTOPHER,DP,290,18215,0.015920945,0
Directly Elected MP,AMURU,KILAK SOUTH COUNTY,OKELLO JAMES MOGI,ANT,178,18215,0.009772166,0
Directly Elected MP,APAC,APAC MUNICIPALITY,OCAN PATRICK,UPC,9469,13144,0.720404744,0
Directly Elected MP,APAC,APAC MUNICIPALITY,OKELLO JIMMY,NRM,3675,13144,0.279595256,0
Directly Elected MP,APAC,MARUZI COUNTY,AKORA MAXWELL EBONG PATRICK,UPC,10758,21926,0.490650356,0
Directly Elected MP,APAC,MARUZI COUNTY,OPETO MOSES,NRM,7987,21926,0.364270717,0
Directly Elected MP,APAC,MARUZI COUNTY,ODORA DENIS MR DEE,INDEPENDENT,2204,21926,0.100519933,0
Directly Elected MP,APAC,MARUZI COUNTY,OKELLO GEORGE EKWARO,FDC,977,21926,0.044558972,0
Directly Elected MP,APAC,MARUZI NORTH COUNTY,OKELLO NELSON,UPC,9395,18615,0.504700482,0
Directly Elected MP,APAC,MARUZI NORTH COUNTY,CHONO PATRICK OKELLO,NRM,7876,18615,0.423099637,0
Directly Elected MP,APAC,MARUZI NORTH COUNTY,ODONGO FRANCIS,INDEPENDENT,1344,18615,0.072199836,0
Directly Elected MP,ARUA,VURRA COUNTY,ADRIKO YOVAN,NRM,21989,34324,0.640630484,0
Directly Elected MP,ARUA,VURRA COUNTY,EJUA SIMON,INDEPENDENT,7710,34324,0.224624172,0
Directly Elected MP,ARUA,VURRA COUNTY,PARIYO PETER,INDEPENDENT,3408,34324,0.099289127,0
Directly Elected MP,ARUA,VURRA COUNTY,OBINI GERALD,DP,1217,34324,0.03545624,0
Directly Elected MP,ARUA CITY,ARUA CENTRAL DIVISION,ATIMA JACKSON LEE BUTI,NRM,6570,18867,0.348227054,0
Directly Elected MP,ARUA CITY,ARUA CENTRAL DIVISION,WADRI KASSIANO EZATI,ANT,6038,18867,0.320029676,0
Directly Elected MP,ARUA CITY,ARUA CENTRAL DIVISION,HADAD SALIM,NUP,5711,18867,0.302697837,0
Directly Elected MP,ARUA CITY,ARUA CENTRAL DIVISION,ASEGA HABIB JOGO,JEEMA,238,18867,0.012614618,0
Directly Elected MP,ARUA CITY,ARUA CENTRAL DIVISION,ADOMATI RONALD,FDC,156,18867,0.008268405,0
Directly Elected MP,ARUA CITY,ARUA CENTRAL DIVISION,LEMERIGA FADHIL KUJO,DP,154,18867,0.0081624,0
Directly Elected MP,ARUA CITY,AYIVU DIVISION EAST,FETA GEOFREY,NRM,10431,29185,0.357409626,0
Directly Elected MP,ARUA CITY,AYIVU DIVISION EAST,AVUTIA SIMON,INDEPENDENT,5022,29185,0.17207469,0
Directly Elected MP,ARUA CITY,AYIVU DIVISION EAST,AYIKOBUA ISAAC,NUP,3937,29185,0.134898067,0
Directly Elected MP,ARUA CITY,AYIVU DIVISION EAST,PIRIO GASPER,DP,2523,29185,0.08644852,0
Directly Elected MP,ARUA CITY,AYIVU DIVISION EAST,MUNDURU KEVIN,INDEPENDENT,2326,29185,0.079698473,0
Directly Elected MP,ARUA CITY,AYIVU DIVISION EAST,ADRABO ALEX ADIGA,INDEPENDENT,2322,29185,0.07956142,0
Directly Elected MP,ARUA CITY,AYIVU DIVISION EAST,DRAVILLE BEN,INDEPENDENT,1608,29185,0.055096798,0
Directly Elected MP,ARUA CITY,AYIVU DIVISION EAST,TEKAKWO VENICE,INDEPENDENT,593,29185,0.020318657,0
Directly Elected MP,ARUA CITY,AYIVU DIVISION EAST,ANGUFIRU MARGARET,INDEPENDENT,423,29185,0.014493747,0
Directly Elected MP,ARUA CITY,AYIVU DIVISION WEST,LEMATIA JOHN,NRM,11269,26170,0.430607557,0
Directly Elected MP,ARUA CITY,AYIVU DIVISION WEST,ATIKU BENARD,INDEPENDENT,9196,26170,0.351394713,0
Directly Elected MP,ARUA CITY,AYIVU DIVISION WEST,AYIKOBUA DENIS,INDEPENDENT,5091,26170,0.194535732,0
Directly Elected MP,ARUA CITY,AYIVU DIVISION WEST,AFAYOA CHRISTOPHER,DP,614,26170,0.023461979,0
Directly Elected MP,BUDAKA,BUDAKA COUNTY,MBOIZI ARTHUR WAAKO,INDEPENDENT,9463,37712,0.250928074,0
Directly Elected MP,BUDAKA,BUDAKA COUNTY,KASIBBO JOSHUA OMAYENDE,NRM,7919,37712,0.20998621,0
Directly Elected MP,BUDAKA,BUDAKA COUNTY,KISAALE JAMES,INDEPENDENT,6397,37712,0.169627711,0
Directly Elected MP,BUDAKA,BUDAKA COUNTY,MUGULUSI GONANSA NKODONGOLE,INDEPENDENT,3507,37712,0.092994273,0
Directly Elected MP,BUDAKA,BUDAKA COUNTY,GOIRE MOSES,INDEPENDENT,3335,37712,0.088433392,0
Directly Elected MP,BUDAKA,BUDAKA COUNTY,MBOGO KEZEKIA,INDEPENDENT,3272,37712,0.086762831,0
Directly Elected MP,BUDAKA,BUDAKA COUNTY,MWANIKA FRANCIS,INDEPENDENT,2767,37712,0.073371872,0
Directly Elected MP,BUDAKA,BUDAKA COUNTY,MAGGWA ASUMAN,NUP,1052,37712,0.027895629,0
Directly Elected MP,BUDAKA,IKI-IKI COUNTY,KASOLO ROBERT,NRM,10928,26302,0.415481716,0
Directly Elected MP,BUDAKA,IKI-IKI COUNTY,KAMPANYA ABDU SWAIBU,INDEPENDENT,7499,26302,0.285111398,0
Directly Elected MP,BUDAKA,IKI-IKI COUNTY,MUGWERI GEOFFREY,INDEPENDENT,7227,26302,0.274769992,0
Directly Elected MP,BUDAKA,IKI-IKI COUNTY,KAMWADA WILLIAM HARVEY,FDC,362,26302,0.013763212,0
Directly Elected MP,BUDAKA,IKI-IKI COUNTY,KABIRA BRIAN,INDEPENDENT,169,26302,0.006425367,0
Directly Elected MP,BUDAKA,IKI-IKI COUNTY,MUSIGIRE ABBAS,INDEPENDENT,117,26302,0.004448331,0
Directly Elected MP,BUDUDA,BUSHIGAI COUNTY,WAKIKONA WANDENDEYA DAVID,NRM,4198,8947,0.469207555,0
Directly Elected MP,BUDUDA,BUSHIGAI COUNTY,WATIRA WILSON,INDEPENDENT,2172,8947,0.242762938,0
Directly Elected MP,BUDUDA,BUSHIGAI COUNTY,NAMUKOWA PHILIP,INDEPENDENT,1873,8947,0.20934391,0
Directly Elected MP,BUDUDA,BUSHIGAI COUNTY,WAMBOKO PETER KITUNO,INDEPENDENT,376,8947,0.042025261,0
Directly Elected MP,BUDUDA,BUSHIGAI COUNTY,KHATONDI JOB,INDEPENDENT,328,8947,0.036660332,0
Directly Elected MP,BUDUDA,LUTSESHE COUNTY,MODOI ISAAC,NRM,9990,19943,0.500927627,0
Directly Elected MP,BUDUDA,LUTSESHE COUNTY,WATENGA GODFREY NABUTANYI,INDEPENDENT,9304,19943,0.466529608,0
Directly Elected MP,BUDUDA,LUTSESHE COUNTY,BIKALA MOSES MUKUWA,INDEPENDENT,222,19943,0.011131725,0
Directly Elected MP,BUDUDA,LUTSESHE COUNTY,MASIKA ROBERT,NUP,198,19943,0.009928295,0
Directly Elected MP,BUDUDA,LUTSESHE COUNTY,WAKOSESE MICHEAL,INDEPENDENT,192,19943,0.009627438,0
Directly Elected MP,BUDUDA,LUTSESHE COUNTY,NABOKYE WILSON,INDEPENDENT,37,19943,0.001855288,0
Directly Elected MP,BUDUDA,MANJIYA COUNTY,NAMBESHE JOHN BAPTIST,NUP,9994,16623,0.601215184,0
Directly Elected MP,BUDUDA,MANJIYA COUNTY,MUKHOBEH MOSES KHAUKHA,NRM,5032,16623,0.302713096,0
Directly Elected MP,BUDUDA,MANJIYA COUNTY,HUSSEIN KATO MATANDA,INDEPENDENT,1069,16623,0.064308487,0
Directly Elected MP,BUDUDA,MANJIYA COUNTY,MATSANGA JACKSON,INDEPENDENT,528,16623,0.031763218,0
Directly Elected MP,BUGIRI,BUGIRI MUNICIPALITY,BASALIRWA ASUMAN,JEEMA,5325,9452,0.56337285,0
Directly Elected MP,BUGIRI,BUGIRI MUNICIPALITY,OKETCHO JOHN FRANCIS,NRM,3779,9452,0.399809569,0
Directly Elected MP,BUGIRI,BUGIRI MUNICIPALITY,KIZIRE NAKENDO IBRAHIM,INDEPENDENT,129,9452,0.013647906,0
Directly Elected MP,BUGIRI,BUGIRI MUNICIPALITY,MAGUMBA FRANK,INDEPENDENT,69,9452,0.007300043,0
Directly Elected MP,BUGIRI,BUGIRI MUNICIPALITY,WAISWA JAMIRU,INDEPENDENT,63,9452,0.006665256,0
Directly Elected MP,BUGIRI,BUGIRI MUNICIPALITY,WAFULA STEPHEN,FDC,55,9452,0.005818874,0
Directly Elected MP,BUGIRI,BUGIRI MUNICIPALITY,WAFULA FAHADI,INDEPENDENT,32,9452,0.003385527,0
Directly Elected MP,BUGIRI,BUKOOLI COUNTY CENTRAL,SILWANY SOLOMON,NRM,24244,53224,0.455508798,0
Directly Elected MP,BUGIRI,BUKOOLI COUNTY CENTRAL,WAFULA OGUTTU,FDC,12555,53224,0.235889822,0
Directly Elected MP,BUGIRI,BUKOOLI COUNTY CENTRAL,MUGOYA ALI MUKOOVA,INDEPENDENT,5243,53224,0.098508194,0
Directly Elected MP,BUGIRI,BUKOOLI COUNTY CENTRAL,LUWANGA FREDDIE DAVID MULENGANI,INDEPENDENT,3314,53224,0.062265143,0
Directly Elected MP,BUGIRI,BUKOOLI COUNTY CENTRAL,NTAMBI LATIF ARAFAT,NUP,3028,53224,0.056891628,0
Directly Elected MP,BUGIRI,BUKOOLI COUNTY CENTRAL,KAREMIRE MUGAGGA MUKUVE,INDEPENDENT,1680,53224,0.031564709,0
Directly Elected MP,BUGIRI,BUKOOLI COUNTY CENTRAL,WANDERA ISMAIL ONYANGO,INDEPENDENT,1420,53224,0.026679693,0
Directly Elected MP,BUGIRI,BUKOOLI COUNTY CENTRAL,OKANGA CHARLES,INDEPENDENT,586,53224,0.01101007,0
Directly Elected MP,BUGIRI,BUKOOLI COUNTY CENTRAL,WABWIRE CHARLES,INDEPENDENT,482,53224,0.009056065,0
Directly Elected MP,BUGIRI,BUKOOLI COUNTY CENTRAL,MUKAMA ABUBAKALI,INDEPENDENT,413,53224,0.007759657,0
Directly Elected MP,BUGIRI,BUKOOLI COUNTY CENTRAL,BALYEIDHUSA SAMUEL BRIGHT,INDEPENDENT,259,53224,0.004866226,0
Directly Elected MP,BUGIRI,BUKOOLI COUNTY NORTH,BAKA STEPHEN MUGABI,NRM,19318,38643,0.499909431,0
Directly Elected MP,BUGIRI,BUKOOLI COUNTY NORTH,AYAGALACHI JAMALI,NUP,9197,38643,0.237999126,0
Directly Elected MP,BUGIRI,BUKOOLI COUNTY NORTH,NAKENDO ISAAC,INDEPENDENT,9056,38643,0.234350339,0
Directly Elected MP,BUGIRI,BUKOOLI COUNTY NORTH,ENGURATA GEORGE WILLIAM,FDC,622,38643,0.016096059,0
Directly Elected MP,BUGIRI,BUKOOLI COUNTY NORTH,MWONDHA SAMUEL DAVID,INDEPENDENT,266,38643,0.006883523,0
Directly Elected MP,BUGIRI,BUKOOLI COUNTY NORTH,TENYWA HUSSEIN NYAIKA,ANT,184,38643,0.004761535,0
Directly Elected MP,BUGWERI,BUGWERI COUNTY,KATUNTU ABDU,INDEPENDENT,17813,45810,0.388845235,0
Directly Elected MP,BUGWERI,BUGWERI COUNTY,IBAALE DANIEL JOSEPH,NRM,13141,45810,0.286858767,0
Directly Elected MP,BUGWERI,BUGWERI COUNTY,GALISONGA JULIUS,FDC,9074,45810,0.19807902,0
Directly Elected MP,BUGWERI,BUGWERI COUNTY,KEDDY ABUBAKER,NUP,2624,45810,0.057280071,0
Directly Elected MP,BUGWERI,BUGWERI COUNTY,NKUUTU SHABAN,INDEPENDENT,1535,45810,0.033507969,0
Directly Elected MP,BUGWERI,BUGWERI COUNTY,NKUUTU SULAIMAN,INDEPENDENT,643,45810,0.014036236,0
Directly Elected MP,BUGWERI,BUGWERI COUNTY,KAKAIRE SULAIMAN,ANT,460,45810,0.010041475,0
Directly Elected MP,BUGWERI,BUGWERI COUNTY,MENYA ISIIMA,INDEPENDENT,243,45810,0.005304519,0
Directly Elected MP,BUGWERI,BUGWERI COUNTY,MALIBA HARITH,JEEMA,114,45810,0.00248854,0
Directly Elected MP,BUGWERI,BUGWERI COUNTY,KIRUNDA KIBEDI PAUL,DP,88,45810,0.001920978,0
Directly Elected MP,BUGWERI,BUGWERI COUNTY,MAMBO KASIMU,INDEPENDENT,75,45810,0.001637197,0
Directly Elected MP,BUHWEJU,BUHWEJU COUNTY,MWIJUKYE FRANCIS,FDC,12084,21922,0.551227093,0
Directly Elected MP,BUHWEJU,BUHWEJU COUNTY,RUGYERO GREAT ALEX,NRM,9769,21922,0.445625395,0
Directly Elected MP,BUHWEJU,BUHWEJU COUNTY,MUKIIZA LINAS,ANT,69,21922,0.003147523,0
Directly Elected MP,BUHWEJU,BUHWEJU WEST COUNTY,BIRAARO EPHRAIM GANSHANGA,NRM,14423,26274,0.548945725,0
Directly Elected MP,BUHWEJU,BUHWEJU WEST COUNTY,NAREEBA DANIEL,INDEPENDENT,10234,26274,0.389510542,0
Directly Elected MP,BUHWEJU,BUHWEJU WEST COUNTY,TWINOMUGISHA WILSON,INDEPENDENT,1300,26274,0.049478572,0
Directly Elected MP,BUHWEJU,BUHWEJU WEST COUNTY,ABENAITWE EVATH KAFUREEKA,FDC,175,26274,0.006660577,0
Directly Elected MP,BUHWEJU,BUHWEJU WEST COUNTY,MPIIRWOMUGISHA ISAIAH,ANT,142,26274,0.005404582,0
Directly Elected MP,BUIKWE,BUIKWE COUNTY SOUTH,BAYIGGA MICHAEL PHILIP LULUME,DP,28759,47765,0.602093577,0
Directly Elected MP,BUIKWE,BUIKWE COUNTY SOUTH,MUTEBI DAVID RONNIE,NRM,15024,47765,0.314539939,0
Directly Elected MP,BUIKWE,BUIKWE COUNTY SOUTH,SEMBUYA KOONA MAGULU STEPHEN,NUP,2892,47765,0.060546424,0
Directly Elected MP,BUIKWE,BUIKWE COUNTY SOUTH,NSUBUGA MURSHID,JEEMA,311,47765,0.006511044,0
Directly Elected MP,BUIKWE,BUIKWE COUNTY SOUTH,KATAMBULA STEPHEN,INDEPENDENT,305,47765,0.006385429,0
Directly Elected MP,BUIKWE,BUIKWE COUNTY SOUTH,SEKIMULI ANDREW,INDEPENDENT,300,47765,0.00628075,0
Directly Elected MP,BUIKWE,BUIKWE COUNTY SOUTH,SENDEGE IVAN,INDEPENDENT,174,47765,0.003642835,0
Directly Elected MP,BUIKWE,LUGAZI MUNICIPALITY,SSERUBULA STEPHEN,NUP,14409,34514,0.417482764,0
Directly Elected MP,BUIKWE,LUGAZI MUNICIPALITY,MULINDWA ISAAC SSOZI,INDEPENDENT,10085,34514,0.292200267,0
Directly Elected MP,BUIKWE,LUGAZI MUNICIPALITY,BOGERE RICHARD SSENKAABA,NRM,8901,34514,0.25789535,0
Directly Elected MP,BUIKWE,LUGAZI MUNICIPALITY,SSERUWAJI MOSES,INDEPENDENT,627,34514,0.01816654,0
Directly Elected MP,BUIKWE,LUGAZI MUNICIPALITY,ONZIMA BOSCO,FDC,492,34514,0.014255085,0
Directly Elected MP,BUIKWE,NJERU MUNICIPALITY,LWANGA JIMMY,NUP,13676,44753,0.305588454,0
Directly Elected MP,BUIKWE,NJERU MUNICIPALITY,NYANGO DIANA HOPE,NRM,7234,44753,0.16164279,0
Directly Elected MP,BUIKWE,NJERU MUNICIPALITY,MUSOKE PAUL SEBULIME,INDEPENDENT,6736,44753,0.15051505,0
Directly Elected MP,BUIKWE,NJERU MUNICIPALITY,KABUYE BADIRU MPOZA,INDEPENDENT,6094,44753,0.136169642,0
Directly Elected MP,BUIKWE,NJERU MUNICIPALITY,EMOLU GODFREY KIZZA,FDC,4476,44753,0.10001564,0
Directly Elected MP,BUIKWE,NJERU MUNICIPALITY,ONYANGO DAVID,INDEPENDENT,2275,44753,0.050834581,0
Directly Elected MP,BUIKWE,NJERU MUNICIPALITY,MUSANJE MOSES,INDEPENDENT,1513,44753,0.033807788,0
Directly Elected MP,BUIKWE,NJERU MUNICIPALITY,LUSWATA NASHIF,JEEMA,1180,44753,0.026366947,0
Directly Elected MP,BUIKWE,NJERU MUNICIPALITY,KALAZANI CHARLES,ANT,834,44753,0.018635621,0
Directly Elected MP,BUIKWE,NJERU MUNICIPALITY,MUGABI ARTHUR,INDEPENDENT,431,44753,0.009630639,0
Directly Elected MP,BUIKWE,NJERU MUNICIPALITY,WANZALA RICHARD,DP,304,44753,0.006792841,0
Directly Elected MP,BUKEDEA,BUKEDEA COUNTY,IKOJO JOHN BOSCO,NRM,20112,41739,0.481851518,0
Directly Elected MP,BUKEDEA,BUKEDEA COUNTY,EKUMA GEORGE STEPHEN,INDEPENDENT,10546,41739,0.252665371,0
Directly Elected MP,BUKEDEA,BUKEDEA COUNTY,OBILAN ABUBAKAR UMAR,INDEPENDENT,4957,41739,0.11876183,0
Directly Elected MP,BUKEDEA,BUKEDEA COUNTY,OMODING PETERSON,INDEPENDENT,2723,41739,0.065238744,0
Directly Elected MP,BUKEDEA,BUKEDEA COUNTY,EMAASIT DANIEL,INDEPENDENT,1451,41739,0.034763649,0
Directly Elected MP,BUKEDEA,BUKEDEA COUNTY,EYATU KENNETH,INDEPENDENT,872,41739,0.020891732,0
Directly Elected MP,BUKEDEA,BUKEDEA COUNTY,EKOOM STEPHEN,NUP,617,41739,0.014782337,0
Directly Elected MP,BUKEDEA,BUKEDEA COUNTY,OITA SAM ODEKE,FDC,461,41739,0.011044826,0
Directly Elected MP,BUKEDEA,KACHUMBALA COUNTY,OPOLOT PATRICK ISIAGI,NRM,11717,18248,0.642097771,0
Directly Elected MP,BUKEDEA,KACHUMBALA COUNTY,ALEKO HENRY,INDEPENDENT,4573,18248,0.250602812,0
Directly Elected MP,BUKEDEA,KACHUMBALA COUNTY,OKELLOTO TOM,INDEPENDENT,1584,18248,0.086804032,0
Directly Elected MP,BUKEDEA,KACHUMBALA COUNTY,OMAGOR DAVID STEPHEN,INDEPENDENT,374,18248,0.020495396,0
Directly Elected MP,BUKOMANSIMBI,BUKOMANSIMBI NORTH COUNTY,NANDAGIRE CHRISTINE NDIWALANA,NUP,9617,24010,0.400541455,0
